instnm,Highest degree offered (HD2016),Level of institution (HD2016),Total price for in-state students living on campus 2016-17 (DRVIC2016),Total price for out-of-state students living on campus 2016-16 (DRVIC2016),Admissions yield - full time (DRVADM2015),Percent admitted - total (DRVADM2015),
University of Central Arkansas,11,1,21143,27366,43,92,
University of Central Florida,11,1,22254,38353,37,49,
University of Central Missouri,20,1,19092,25517,43,79,
University of Central Oklahoma,20,1,22905,32666,64,70,
University of Charleston,13,1,43400,43400,31,52,
University of Chicago,11,1,72717,72717,61,8,
University of Cincinnati-Blue Ash College,30,1,,,,,
University of Cincinnati-Clermont College,30,1,,,,,
University of Cincinnati-Main Campus,11,1,27966,43300,34,86,
University of Colorado Boulder,11,1,29215,52763,25,80,
University of Colorado Colorado Springs,11,1,24342,35070,20,92,
University of Colorado Denver/Anschutz Medical Campus,11,1,,,22,67,
University of Colorado System Office,11,1,,,,,
University of Connecticut,11,1,30002,51794,20,53,
University of Connecticut-Avery Point,30,1,,,55,60,
University of Connecticut-Stamford,30,1,,,49,62,
University of Connecticut-Tri-Campus,30,1,,,51,60,
University of Cosmetology Arts & Sciences-Harlingen,0,3,,,,,
University of Cosmetology Arts & Sciences-La Joya,0,3,,,,,
University of Cosmetology Arts & Sciences-McAllen,0,3,,,,,
University of Cosmetology Arts & Sciences-San Antonio Jamar,0,3,,,,,
University of Cosmetology Arts & Sciences-San Antonio Perrin,0,3,,,,,
University of Dallas,12,1,53426,53426,28,64,
University of Dayton,11,1,56370,56370,22,58,
University of Delaware,11,1,27198,46618,27,67,
University of Denver,11,1,62277,62277,13,73,
University of Detroit Mercy,11,1,53574,53574,15,73,
University of Dubuque,13,1,39610,39610,40,77,
University of East-West Medicine,13,1,,,,,
University of Evansville,13,1,48970,48970,18,70,
University of Florida,11,1,21251,43529,49,48,
University of Florida-Online,30,1,,,71,56,
University of Fort Lauderdale,14,1,,,,,
University of Georgia,11,1,26208,44418,45,53,
University of Great Falls,20,1,36100,36100,12,60,
University of Hartford,11,1,53130,53130,15,64,
University of Hawaii at Hilo,11,1,22288,35248,34,71,
University of Hawaii at Manoa,11,1,28613,50645,30,81,
University of Hawaii Maui College,30,1,,,,,
University of Hawaii System Office,11,1,,,,,
University of Hawaii-West Oahu,30,1,,,38,70,
University of Holy Cross,12,1,,,79,100,
University of Houston,11,1,24605,36797,37,60,
University of Houston-Clear Lake,12,1,24170,36218,34,65,
University of Houston-Downtown,20,1,,,29,78,
University of Houston-System Administration,11,1,,,,,
University of Houston-Victoria,20,1,19709,31949,12,53,
University of Idaho,11,1,20640,35448,35,72,
University of Illinois at Chicago,11,1,30034,42890,29,77,
University of Illinois at Springfield,12,1,24913,34438,27,63,
University of Illinois at Urbana-Champaign,11,1,30064,45686,34,66,
University of Illinois University Administration,11,1,,,,,
University of Indianapolis,13,1,41528,41528,18,73,
University of Iowa,11,1,21875,42113,23,81,
University of Jamestown,14,1,32000,32000,31,65,
University of Kansas,11,1,25215,41999,28,93,
University of Kentucky,11,1,27928,42778,31,89,
University of La Verne,11,1,57849,57849,19,47,
University of Louisiana at Lafayette,11,1,24002,37730,52,55,
University of Louisiana at Monroe,11,1,20526,32626,41,88,
University of Louisiana-System Administration,30,1,,,,,
University of Louisville,11,1,26026,41048,39,72,
University of Maine,12,1,23992,42862,20,91,
University of Maine at Augusta,30,1,,,,,
University of Maine at Farmington,20,1,21299,29819,33,83,
University of Maine at Fort Kent,30,1,18985,22615,63,89,
University of Maine at Machias,30,1,19296,31116,,,
University of Maine at Presque Isle,30,1,18880,22510,18,77,
University of Maine-System Central Office,11,1,,,,,
University of Management and Technology,12,1,,,,,
University of Mary,13,1,27639,27639,47,96,
University of Mary Hardin-Baylor,13,1,38470,38470,12,80,
University of Mary Washington,20,1,25826,40416,21,83,
University of Maryland Eastern Shore,11,1,22192,31576,28,49,
University of Maryland  Baltimore,11,1,,,,,
University of Maryland-Baltimore County,12,1,26894,40122,24,59,
University of Maryland-College Park,11,1,26063,47927,31,45,
University of Maryland-University College,13,1,,,,,
University of Massachusetts Medical School Worcester,11,1,,,,,
University of Massachusetts-Amherst,11,1,29268,46501,20,58,
University of Massachusetts-Boston,11,1,,,24,69,
University of Massachusetts-Central Office,11,1,,,,,
University of Massachusetts-Dartmouth,11,1,28430,42715,24,76,
University of Massachusetts-Lowell,11,1,29002,45570,26,57,
University of Memphis,11,1,24205,35917,31,40,
University of Miami,11,1,64306,64306,16,38,
University of Michigan-Ann Arbor,11,1,28776,59784,45,26,
University of Michigan-Dearborn,12,1,,,29,62,
University of Michigan-Flint,11,1,23960,33806,20,74,
University of Minnesota-Crookston,30,1,22850,22850,27,77,
University of Minnesota-Duluth,11,1,24103,28449,35,76,
University of Minnesota-Morris,30,1,23460,25460,19,60,
University of Minnesota-Rochester,30,1,25852,25852,40,28,
University of Minnesota-Twin Cities,11,1,26719,36383,28,45,
University of Mississippi,11,1,23606,37874,27,79,
University of Missouri-Columbia,11,1,25916,42290,35,78,
University of Missouri-Kansas City,11,1,23460,34500,37,63,
University of Missouri-St Louis,11,1,23464,38595,37,76,
University of Missouri-System Office,11,1,,,,,
University of Mobile,20,1,37348,37348,40,61,
University of Montevallo,20,1,25220,37490,35,70,
University of Mount Olive,20,1,29950,29950,24,51,
University of Mount Union,20,1,41705,41705,31,75,
University of Nebraska at Kearney,20,1,21778,27202,43,85,
University of Nebraska at Omaha,12,1,20830,32750,46,76,
University of Nebraska Medical Center,11,1,,,,,
University of Nebraska-Central Administration System Office,11,1,,,,,
University of Nebraska-Lincoln,11,1,24245,38766,62,76,
University of Nevada-Las Vegas,11,1,22799,36709,54,88,
University of Nevada-Reno,11,1,23500,37410,47,79,
University of New England,11,1,53030,53030,17,85,
University of New Hampshire at Manchester,30,1,,,38,73,
University of New Hampshire-Main Campus,11,1,32200,46000,21,79,
University of New Hampshire-School of Law,13,1,,,,,
University of New Haven,12,1,54850,54850,14,82,
University of New Mexico-Gallup Campus,40,2,,,,,
University of New Mexico-Los Alamos Campus,40,2,,,,,
University of New Mexico-Main Campus,11,1,21750,36339,43,58,
University of New Mexico-Taos Campus,40,2,,,,,
University of New Mexico-Valencia County Campus,40,2,,,,,
University of New Orleans,12,1,22768,36585,40,58,
University of North Alabama,20,1,19698,26034,60,58,
University of North Carolina at Asheville,20,1,19323,35718,28,79,
University of North Carolina at Chapel Hill,11,1,24898,49980,43,31,
University of North Carolina at Charlotte,11,1,23110,36281,33,63,
University of North Carolina at Greensboro,11,1,20085,34947,45,59,
University of North Carolina at Pembroke,20,1,19486,30430,36,74,
University of North Carolina General Administration,11,1,,,,,
University of North Carolina School of the Arts,20,1,23239,38709,65,34,
University of North Carolina Wilmington,12,1,23113,37082,29,61,
University of North Dakota,11,1,20414,31568,46,82,
University of North Florida,11,1,21210,35614,25,57,
University of North Georgia,13,1,19263,27618,43,96,
University of North Texas,11,1,22951,32743,40,70,
University of North Texas at Dallas,13,1,,,18,58,
University of North Texas Health Science Center,11,1,,,,,
University of North Texas System,11,1,,,,,
University of Northern Colorado,12,1,23618,35204,32,89,
University of Northern Iowa,14,1,20788,31330,44,80,
University of Northwestern Ohio,20,1,22890,22890,,,
University of Northwestern-St Paul,20,1,42010,42010,37,87,
University of Notre Dame,11,1,67043,67043,56,20,
University of Oklahoma - Douglass Learning Center,-3,-3,,,,,
University of Oklahoma - Ft. Benning GA - AP,-3,-3,,,,,
University of Oklahoma-Health Sciences Center,11,1,,,,,
University of Oklahoma-Norman Campus,11,1,27308,41630,42,78,
University of Oregon,11,1,25815,48495,25,74,
University of Pennsylvania,11,1,69340,69340,64,10,
University of Phoenix-Alabama,20,1,,,,,
University of Phoenix-Arizona,12,1,,,,,
University of Phoenix-Arkansas,20,1,,,,,
University of Phoenix-California,20,1,,,,,
University of Phoenix-Colorado,20,1,,,,,
University of Phoenix-Connecticut,20,1,,,,,
University of Phoenix-Florida,20,1,,,,,
University of Phoenix-Georgia,20,1,,,,,
University of Phoenix-Hawaii,20,1,,,,,
University of Phoenix-Idaho,20,1,,,,,
University of Phoenix-Illinois,20,1,,,,,
University of Phoenix-Indiana,20,1,,,,,
University of Phoenix-Iowa,20,1,,,,,
University of Phoenix-Kentucky,20,1,,,,,
University of Phoenix-Louisiana,20,1,,,,,
University of Phoenix-Maryland,20,1,,,,,
University of Phoenix-Massachusetts,20,1,,,,,
University of Phoenix-Michigan,20,1,,,,,
University of Phoenix-Minnesota,20,1,,,,,
University of Phoenix-Mississippi,20,1,,,,,
University of Phoenix-Missouri,20,1,,,,,
University of Phoenix-Nevada,20,1,,,,,
University of Phoenix-New Jersey,30,1,,,,,
University of Phoenix-New Mexico,20,1,,,,,
University of Phoenix-North Carolina,20,1,,,,,
University of Phoenix-Ohio,20,1,,,,,
University of Phoenix-Oklahoma,20,1,,,,,
University of Phoenix-Oregon,20,1,,,,,
University of Phoenix-Pennsylvania,20,1,,,,,
University of Phoenix-South Carolina,20,1,,,,,
University of Phoenix-Tennessee,20,1,,,,,
University of Phoenix-Texas,20,1,,,,,
University of Phoenix-Utah,20,1,,,,,
University of Phoenix-Virginia,20,1,,,,,
University of Phoenix-Washington,20,1,,,,,
University of Phoenix-Washington DC,20,1,,,,,
University of Phoenix-Wisconsin,20,1,,,,,
University of Pikeville,13,1,37700,37700,13,100,
University of Pittsburgh Medical Center-Shadyside School of Nursing,0,2,,,50,100,
University of Pittsburgh-Bradford,30,1,27588,38610,18,63,
University of Pittsburgh-Greensburg,30,1,28794,39816,28,71,
University of Pittsburgh-Johnstown,30,1,28200,39222,26,81,
University of Pittsburgh-Pittsburgh Campus,11,1,32782,43922,24,54,
University of Pittsburgh-Titusville,40,2,27466,37210,28,77,
University of Portland,13,1,58980,58980,14,62,
University of Puget Sound,13,1,61652,61652,14,79,
University of Redlands,12,1,64993,64993,16,68,
University of Rhode Island,11,1,28405,44395,20,74,
University of Richmond,13,1,63040,63040,26,31,
University of Rio Grande,20,1,39208,39208,,,
University of Rochester,11,1,67722,67722,23,34,
University of Saint Francis-Fort Wayne,20,1,41100,41100,39,95,
University of Saint Joseph,13,1,49896,49896,30,93,
University of Saint Mary,13,1,39043,39043,29,49,
University of Saint Mary of the Lake,14,1,,,,,
University of San Diego,11,1,63410,63410,16,52,
University of San Francisco,11,1,63884,63884,13,64,
University of Science and Arts of Oklahoma,30,1,18050,28400,47,66,
University of Scranton,13,1,59594,59594,13,72,
University of Sioux Falls,20,1,38785,38785,17,92,
University of South Alabama,11,1,20298,27546,40,78,
University of South Carolina-Aiken,20,1,24557,34463,44,57,
University of South Carolina-Beaufort,30,1,23664,34128,40,63,
University of South Carolina-Columbia,11,1,26288,45716,31,65,
University of South Carolina-Lancaster,40,2,,,64,72,
University of South Carolina-Salkehatchie,40,2,,,53,52,
University of South Carolina-Sumter,40,2,,,59,63,
University of South Carolina-Union,40,2,,,44,63,
University of South Carolina-Upstate,20,1,24261,35259,35,56,
University of South Dakota,11,1,21377,24608,39,74,
University of South Florida-Main Campus,11,1,21410,32324,30,45,
University of South Florida-Sarasota-Manatee,20,1,,,52,34,
University of South Florida-St Petersburg,20,1,20821,31735,24,47,
University of Southern California,11,1,69711,69711,32,18,
University of Southern Indiana,13,1,19943,30185,38,69,
University of Southern Maine,11,1,21976,32688,22,88,
University of Southern Mississippi,12,1,21441,30311,43,58,
University of Spa & Cosmetology Arts,0,3,,,,,
University of St Augustine for Health Sciences,11,1,,,,,
University of St Francis,12,1,43724,43724,25,51,
University of St Thomas,12,1,45016,45016,35,78,
University of St Thomas,11,1,53440,53440,31,84,
University of Texas Health Science Center at Tyler,20,1,,,,,
University of Texas Southwestern Medical Center,11,1,,,,,
University of the Cumberlands,12,1,38200,38200,26,68,
University of the District of Columbia,20,1,,,,,
University of the District of Columbia-David A Clarke School of Law,13,1,,,,,
University of the Incarnate Word,11,1,44862,44862,23,92,
University of the Ozarks,30,1,36235,36235,29,97,
University of the Pacific,11,1,62405,62405,10,65,
University of the People,20,1,,,,,
University of the Potomac-VA Campus,20,1,,,,,
University of the Potomac-Washington DC Campus,20,1,,,,,
University of the Rockies,12,1,,,,,
University of the Sciences,11,1,58520,58520,15,58,
University of the Southwest,20,1,26616,26616,,,
University of the West,11,1,23928,23928,,,
University of Toledo,11,1,24791,34129,33,93,
University of Tulsa,11,1,58349,58349,24,44,
University of Utah,11,1,22834,41355,31,81,
University of Valley Forge,20,1,32954,32954,28,95,
University of Vermont,11,1,31960,55024,13,71,
University of Virginia-Main Campus,11,1,31186,60530,40,30,
University of Washington-Bothell Campus,20,1,26137,50175,30,79,
University of Washington-Seattle Campus,11,1,25948,49986,34,53,
University of Washington-Tacoma Campus,14,1,25675,49713,34,83,
University of West Alabama,20,1,20204,27490,47,73,
University of West Georgia,12,1,22486,33060,52,57,
University of West Los Angeles,13,1,,,,,
University of Western States,11,1,,,,,
University of Wisconsin Colleges,30,1,,,57,100,
University of Wisconsin Extension,11,1,,,,,
University of Wisconsin-Eau Claire,13,1,19900,27473,45,85,
University of Wisconsin-Green Bay,20,1,19084,26657,42,85,
University of Wisconsin-La Crosse,13,1,17330,25851,43,80,
University of Wisconsin-Madison,11,1,25230,47480,39,58,
University of Wisconsin-Milwaukee,11,1,23629,33987,43,86,
University of Wisconsin-Oshkosh,13,1,18844,26417,40,81,
University of Wisconsin-Parkside,20,1,18801,26790,43,82,
University of Wisconsin-Platteville,20,1,18810,26660,48,94,
University of Wisconsin-River Falls,20,1,18491,26064,47,90,
University of Wisconsin-Stevens Point,13,1,18290,26557,45,90,
University of Wisconsin-Stout,13,1,19539,27285,52,93,
University of Wisconsin-Superior,20,1,19258,26831,38,94,
University of Wisconsin-System Administration,11,1,,,,,
University of Wisconsin-Whitewater,13,1,17676,26249,45,80,
University of Wyoming,11,1,19615,30775,38,96,
University System of Maryland,11,1,,,,,
University System of Maryland-Research Centers,12,1,,,,,
University System of New Hampshire System Office,11,1,,,,,
Upper Cape Cod Regional Technical School,0,3,,,65,79,
Upper Iowa University,20,1,41442,41442,21,66,
Upper Valley Career Center,0,3,,,,,
Upper Valley Educators Institute,0,1,,,,,
Upstate Medical University,11,1,,,,,
Urban College of Boston,40,2,,,,,
Urbana University,20,1,36510,36510,26,91,
Urshan Graduate School of Theology,20,1,,,,,
Ursinus College,30,1,65012,65012,20,83,
Ursuline College,13,1,42828,42828,18,88,
Uta Mesivta of Kiryas Joel,30,1,21100,21100,,,
Utah College of Massage Therapy-Aurora,0,3,,,,,
Utah College of Massage Therapy-Dallas,0,3,,,,,
Utah College of Massage Therapy-Houston,0,3,,,,,
Utah College of Massage Therapy-Phoenix,0,3,,,,,
Utah College of Massage Therapy-Salt Lake City,0,3,,,,,
Utah College of Massage Therapy-Tempe,0,3,,,,,
Utah College of Massage Therapy-Utah Valley,0,3,,,,,
Utah College of Massage Therapy-Vegas,0,3,,,,,
Utah College of Massage Therapy-Westminster,0,3,,,,,
Utah State University,11,1,18576,31642,27,97,
Utah Valley University,20,1,,,,,
Utica College,13,1,33510,33510,15,83,
Utica School of Commerce,40,2,,,,,
Valdosta State University,11,1,20403,30997,48,50,
Valencia College,30,1,,,,,
Valley City State University,20,1,18206,27026,50,86,
Valley College of Medical Careers,40,2,,,,,
Valley College-Beckley,40,2,,,,,
Valley College-Martinsburg,40,2,,,,,
Valley College-Princeton,40,2,,,,,
Valley Forge Military College,40,2,47375,47375,18,64,
Valley Grande Institute for Academic Studies,0,3,,,,,
Valor Christian College,40,2,14125,14125,,,
Valparaiso University,13,1,51190,51190,14,82,
Vance-Granville Community College,40,2,,,,,
Vanderbilt University,11,1,64654,64654,44,12,
VanderCook College of Music,20,1,,,44,96,
Vanguard College of Cosmetology-Baton Rouge,0,3,,,,,
Vanguard College of Cosmetology-Metairie,0,3,,,,,
Vanguard College of Cosmetology-Slidell,0,3,,,,,
Vanguard University of Southern California,20,1,45340,45340,37,68,
Vanguard-Sentinel Adult Career and Technology Center,0,3,,,,,
Vanity School of Cosmetology,0,2,,,,,
Vantage College,40,2,,,,,
Vantage College-San Antonio,0,3,,,,,
Vassar College,20,1,67740,67740,34,26,
Vatterott College-Appling Farms,40,2,,,,,
Vatterott College-Berkeley,40,2,,,,,
Vatterott College-Cleveland,40,2,,,,,
Vatterott College-Des Moines,40,2,,,,,
Vatterott College-Dividend,40,2,,,,,
Vatterott College-ex'treme Institute by Nelly-St Louis,40,2,,,,,
Vatterott College-Fairview Heights,40,2,,,,,
Vatterott College-Joplin,40,2,,,,,
Vatterott College-Kansas City,40,2,,,,,
Vatterott College-Oklahoma City,40,2,,,,,
Vatterott College-Quincy,40,2,,,,,
Vatterott College-Spring Valley,40,2,,,,,
Vatterott College-Springfield,40,2,,,,,
Vatterott College-St Charles,40,2,,,,,
Vatterott College-St Joseph,40,2,,,,,
Vatterott College-Sunset Hills,30,1,,,,,
Vatterott College-Tulsa,40,2,,,,,
Vatterott College-Wichita,40,2,,,,,
Vaughn College of Aeronautics and Technology,20,1,45405,45405,50,74,
Veeb Nassau County School of Practical Nursing,0,3,,,,,
Velvatex College of Beauty Culture,0,3,,,,,
Venango County Area Vocational Technical School,0,3,,,68,56,
Ventura Adult and Continuing Education,0,3,,,,,
